Particles,t_TF_cpu,t_parallel_vec,t_parallel_direct,t_direct,t_vect,t_pyfalcon,t_TF_gpu
10,0.007460145992808975,0.3342626094818115,0.29370832443237305,0.0025906570081133395,0.001339191003353335,0.00018068599456455559,3.847521859000153
423,0.014509625994833186,0.36867570877075195,0.6664631366729736,1.4921775670081843,0.5318767389981076,0.0005283709906507283,0.008779146999586374
836,0.03337929000554141,0.3833963871002197,1.366779088973999,5.738070699007949,2.168717791006202,0.0009400299895787612,0.010060819000500487
1250,0.04768016100570094,0.4120779037475586,2.526198387145996,12.661533473001327,4.519321361993207,0.0013822119944961742,0.00842993700007355
1663,0.07208584899490234,0.3824324607849121,4.242502689361572,22.383665182991535,8.10658639499161,0.0019225899886805564,0.008008370000425202
2077,0.10317574899818283,0.4188344478607178,6.610181570053101,35.14491715699842,12.775400073995115,0.0023786630044924095,0.0077891369992357795
2490,0.1260383000044385,0.4510221481323242,9.225789070129395,51.163984226994216,18.203452533998643,0.0030925909959478304,0.008380768000279204
2904,0.19762345800700132,0.4892160892486572,12.69444489479065,68.80614811499254,24.574724891004735,0.0035050000005867332,0.008983435999653011
3317,0.2530333949980559,0.5325679779052734,15.973254442214966,88.13033805400482,32.091098410994164,0.004528598001343198,0.009386773999722209
3731,0.31645735100028105,0.5708961486816406,20.82454490661621,112.09164721900015,40.52751125799841,0.005045060999691486,0.007294306000403594
4144,0.40145630500046536,0.6567740440368652,26.604376077651978,139.33241559499584,50.35508330799348,0.00573975799488835,0.007956477999869094
4557,0.4923454870004207,0.6870226860046387,32.959861755371094,167.86229815999104,59.483448812010465,0.006411965994630009,0.0068444529997577774
4971,0.5583437689929269,0.8628013134002686,40.11233353614807,197.8036025340116,71.47496589399816,0.006981440004892647,0.008145470000272326
5384,0.633171030000085,0.8933594226837158,46.04098415374756,231.99442026299948,83.95995413098717,0.007357384994975291,0.007331042000259913
5798,0.7319845960009843,0.9254012107849121,53.87012314796448,272.2646008790034,97.01714828598779,0.008069636998698115,0.00804280300053506
6211,0.8293296030024067,0.9483880996704102,61.35252022743225,307.3685009500041,110.67504563801049,0.008111846007523127,0.01345186099933926
6625,0.9325029000028735,1.1293323040008545,68.82640862464905,349.78257839698927,125.51302800200938,0.008867021999321878,0.007935176000501087
7038,1.0473718200082658,1.1637985706329346,77.37099933624268,395.3137636669999,144.68946547299856,0.00917557199136354,0.007213357999717118
7452,1.1686802629992599,1.2575109004974365,85.6679618358612,444.4321068049903,159.51257676699606,0.009645322992582805,0.006864078000035079
7865,1.31867122699623,1.4025111198425293,96.5664415359497,494.26581616899057,177.57667132599454,0.010394370998255908,0.006905004999680386
8278,1.472879302004003,1.489710807800293,106.73559808731079,546.983213413987,195.9552761419909,0.010806366000906564,0.009148262999588042
8692,1.5966174390050583,1.6792666912078857,116.78158283233643,603.0896594560036,216.62393330800114,0.011417782996431924,0.006887195999297546
9105,1.8329676809953526,1.8212974071502686,128.6813063621521,662.2442800799909,237.4491902430018,0.011718545007170178,0.0067753090006590355
9519,1.979794574988773,1.8861587047576904,140.14720463752747,722.737194536996,261.2712621499959,0.012720226994133554,0.0067657399995368905
9932,2.1296265150012914,2.1883320808410645,151.6356508731842,789.9322983559978,283.32820567100134,0.013186829994083382,0.009080376999918371
10346,2.2631900270062033,2.258399248123169,164.98772859573364,855.8556821469974,307.6760331319965,0.01381413999479264,0.006872109999676468
10759,2.410869564002496,2.385103464126587,180.5380585193634,924.4381484290061,332.5624792029994,0.014244866004446521,0.006686679000267759
11173,2.6693137980037136,2.6101937294006348,193.96688389778137,998.9238427769887,359.31993780101766,0.014258667011745274,0.009255122000467964
11586,2.8236603009863757,2.9655494689941406,211.84528279304504,1072.8020046619931,384.66280223001377,0.014877765002893284,0.006656159000158368
12000,3.1249167029891396,5.027217864990234,227.4327790737152,1152.9675513940165,412.90487844502786,0.01550492100068368,0.008165166999788198
